,AMD16_Normal,AMD16_Reordered,AMD64_Normal,AMD64_Reordered,AMD48_Normal,AMD48_Reordered,AMD128_Normal,AMD128_Reordered,SKY32_Normal,SKY32_Reordered,ICE72_Normal,ICE72_Reordered,ARM_Normal,ARM_Reordered,HUA_Normal,HUA_Reordered
./Rajat/rajat29/rajat29.mtx,0.00109981,0.0013391,0.00182069,0.00314726,0.00084146,0.00096636,0.00091534,0.00103834,0.00156496,0.00209005,0.00118377,0.00121426,0.00285447,0.00352134,0.00354653,0.00405111
./Rajat/rajat30/rajat30.mtx,0.00133669,0.00201678,0.00204176,0.0047978,0.00098948,0.00146143,0.00109155,0.0015179,0.00185141,0.00345825,0.00136889,0.00182766,0.00336868,0.00545439,0.0039923,0.00672154
./Raju/laminar_duct3D/laminar_duct3D.mtx,0.00026652,0.00019946,0.00010427,7.204E-05,0.00013641,0.0001095,6.603E-05,4.862E-05,0.00024028,0.00016163,7.654E-05,5.675E-05,0.00022794,0.00016737,0.0002504,0.00021555
./Schmid/thermal2/thermal2.mtx,0.00205265,0.00065875,0.00129565,0.00022027,0.00028706,0.0002523,0.00022398,0.00018003,0.00112378,0.00053136,0.00028231,0.00022113,0.0006783,0.00047728,0.00088118,0.0003957
./Sandia/ASIC_320k/ASIC_320k.mtx,0.0003555,0.00077735,0.00034635,0.00177201,0.00029055,0.0006101,0.00027284,0.00068571,0.00048458,0.00121909,0.00032413,0.0007473,0.0008084,0.00182882,0.00086915,0.00202224
./Sandia/ASIC_320ks/ASIC_320ks.mtx,0.00014,0.00014381,6.645E-05,5.999E-05,6.644E-05,8.685E-05,6.017E-05,6.121E-05,9.643E-05,9.474E-05,3.331E-05,3.054E-05,0.00011571,0.00010643,0.00019952,0.00020053
./Sandia/ASIC_680k/ASIC_680k.mtx,0.00102567,0.00155523,0.00122717,0.0046448,0.00050824,0.00103172,0.00049756,0.00114227,0.0009133,0.00232402,0.00060057,0.00131294,0.00163844,0.0035403,0.00238062,0.00477877
./Sandia/ASIC_680ks/ASIC_680ks.mtx,0.00016801,0.00018425,7.095E-05,8.802E-05,0.00010246,0.00012431,5.779E-05,9.22E-05,0.0001232,0.00016911,3.97E-05,6.535E-05,0.000159,0.0002251,0.00019912,0.00020529
./AMD/G3_circuit/G3_circuit.mtx,0.00056516,0.00042817,0.00027907,0.00015274,0.00022831,0.00021035,0.00020228,0.0001832,0.00084947,0.00052194,0.00022095,0.00018817,0.00064076,0.00043229,0.00054471,0.0004056
./GHS_psdef/apache2/apache2.mtx,0.00021989,0.00022355,7.536E-05,9.162E-05,0.0001389,0.00015478,7.804E-05,9.437E-05,0.00020982,0.00022067,5.523E-05,5.541E-05,0.0002205,0.0002174,0.00022119,0.00024627
./Oberwolfach/filter3D/filter3D.mtx,0.00014425,0.0001365,5.839E-05,5.586E-05,8.575E-05,7.914E-05,4.144E-05,3.948E-05,0.00011243,0.00010797,4.037E-05,3.633E-05,0.00012883,0.00012637,0.00019955,0.00019405
./Oberwolfach/gas_sensor/gas_sensor.mtx,7.314E-05,7.404E-05,3.304E-05,3.37E-05,3.11E-05,5.206E-05,2.883E-05,4.347E-05,5.858E-05,5.806E-05,2.25E-05,2.323E-05,9.223E-05,8.975E-05,0.00018376,0.00017955
./Oberwolfach/gyro/gyro.mtx,6.503E-05,6.488E-05,2.808E-05,2.819E-05,3.647E-05,3.357E-05,3.085E-05,3.205E-05,5.318E-05,4.937E-05,2.113E-05,2.181E-05,5.672E-05,5.803E-05,0.00017318,0.00017654
./Oberwolfach/t3dh/t3dh.mtx,0.00020284,0.00020456,7.62E-05,7.614E-05,0.0001279,0.00012482,5.705E-05,5.482E-05,0.00017144,0.00017635,6.354E-05,6.404E-05,0.00018094,0.00018284,0.00022525,0.00021678
./Oberwolfach/windscreen/windscreen.mtx,4.197E-05,3.681E-05,2.247E-05,2.11E-05,2.855E-05,2.503E-05,2.643E-05,2.54E-05,3.354E-05,3.007E-05,1.44E-05,1.352E-05,5.067E-05,5.411E-05,0.00015972,0.00017014
